tag,cond_key,scope,dynamic,b,t,prec,tf32_lstm,num_repeat,feature_dim,lstm_n,allow_rnn,gpu,compile_s,ms_step_median,ms_step_mean,peak_GiB,graph_break,dynamo_frames,recompile_in_measure,status,error
axes-single,669e03abeecb4ee3,separator&spk,True,4,48000,fp16-mixed,True,6,128,12,False,3,39.8,502.7,506.3,5.13,4,11,0,ok,
structure-allow-rnn,aaa0b8d214803ade,separator,True,16,48000,fp16-mixed,True,1,128,2,False,0,14.2,249.0,250.5,4.97,3,9,0,ok,
axes-full,eb23d3b26551ebd5,separator,False,4,48000,bf16-mixed,True,6,128,12,False,1,8.5,437.0,440.7,5.13,3,6,0,ok,
axes-full,ee5936110d4e9490,separator,False,8,48000,fp32,False,6,128,12,False,1,7.7,708.4,713.0,18.8,3,6,0,ok,
axes-single,d2ec364a11f969fb,separator&spk,True,16,48000,fp16-mixed,False,6,128,12,False,3,40.3,610.4,611.4,19.38,4,11,0,ok,
axes-full,2ccd7581bdd0349f,eager,-,1,48000,fp32,True,6,128,12,False,3,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,e276d4dbb7b161e8,eager,-,1,48000,fp16-mixed,False,6,128,12,False,3,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,fc261d335b491b9d,separator,False,8,48000,bf16-mixed,True,6,128,12,False,1,7.8,418.1,420.1,9.88,3,6,0,ok,
axes-full,5931a049f5f32c8c,separator,False,16,48000,fp32,False,6,128,12,False,1,nan,nan,nan,nan,0,0,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.82 GiB. GPU 0 has a total capacity of 23.56 GiB of which 97.12 MiB is free. Including non-PyTorch memory, this process has 23.46 GiB memory in use. Of the allocated memory 20.41 GiB is allocated by PyTorch, and 2.70 GiB is reserved by PyTorch"
axes-full,aa424abf51e92e2b,eager,-,2,48000,fp32,True,6,128,12,False,3,0.0,366.9,368.5,4.96,0,0,0,ok,
axes-full,f6a9dbeea7635192,eager,-,2,48000,fp16-mixed,False,6,128,12,False,3,0.0,387.7,391.8,2.75,0,0,0,ok,
axes-full,ccc5b7c00d78d5c2,separator,False,16,48000,bf16-mixed,True,6,128,12,False,1,7.8,586.7,590.1,19.42,3,6,0,ok,
axes-full,2af2c14ad98968d7,separator,True,1,48000,fp32,False,6,128,12,False,1,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,3df30d15197cc772,separator,True,1,48000,bf16-mixed,True,6,128,12,False,1,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,05b1f3d4ad476704,eager,-,4,48000,fp32,True,6,128,12,False,3,0.0,411.1,414.3,9.57,0,0,0,ok,
axes-full,582a41c95bb19c15,separator,True,2,48000,fp32,False,6,128,12,False,1,15.7,362.8,368.6,5.0,4,10,0,ok,
axes-full,8df88aa3bdcd992d,eager,-,4,48000,fp16-mixed,False,6,128,12,False,3,0.0,434.4,438.5,5.12,0,0,0,ok,
axes-full,45a4777cf8457bb6,separator,True,2,48000,bf16-mixed,True,6,128,12,False,1,14.0,400.5,410.5,2.77,4,10,0,ok,
axes-full,30fdd28b8de45c50,eager,-,8,48000,fp32,True,6,128,12,False,3,0.0,611.5,612.5,18.8,0,0,0,ok,
axes-full,01aeea239b1fbd94,eager,-,8,48000,fp16-mixed,False,6,128,12,False,3,0.0,443.8,451.0,9.88,0,0,0,ok,
axes-full,03222cf7e8749e50,eager,-,16,48000,fp32,True,6,128,12,False,3,nan,nan,nan,nan,0,0,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.82 GiB. GPU 0 has a total capacity of 23.56 GiB of which 17.12 MiB is free. Including non-PyTorch memory, this process has 23.53 GiB memory in use. Of the allocated memory 20.41 GiB is allocated by PyTorch, and 2.78 GiB is reserved by PyTorch"
axes-full,15b11d6b647f86a0,separator,True,4,48000,fp32,False,6,128,12,False,1,16.0,471.5,475.4,9.57,4,10,0,ok,
axes-full,65d46e1c6d979945,eager,-,16,48000,fp16-mixed,False,6,128,12,False,3,0.0,615.6,617.2,19.38,0,0,0,ok,
axes-full,f6021690b274bf81,separator,False,1,48000,fp32,True,6,128,12,False,3,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,11499bd5af030699,separator,False,1,48000,fp16-mixed,False,6,128,12,False,3,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,6c742a6b88001208,separator,True,4,48000,bf16-mixed,True,6,128,12,False,1,13.2,423.1,427.3,5.13,4,10,0,ok,
axes-full,eef8dd003c7c122c,separator,False,2,48000,fp32,True,6,128,12,False,3,7.3,407.4,405.9,5.0,3,6,0,ok,
axes-full,d5d5912e4f227d7c,separator,False,2,48000,fp16-mixed,False,6,128,12,False,3,7.6,408.6,406.3,2.77,3,6,0,ok,
axes-full,71f897acfd7993e9,separator,True,8,48000,fp32,False,6,128,12,False,1,15.1,713.8,718.1,18.8,4,10,0,ok,
axes-full,c27e969b73db303c,separator,False,4,48000,fp32,True,6,128,12,False,3,7.6,404.3,408.0,9.57,3,6,0,ok,
axes-full,5deb9f622f7a4bae,separator,True,8,48000,bf16-mixed,True,6,128,12,False,1,13.7,450.8,450.1,9.88,4,10,0,ok,
axes-full,2dda59654098e3f4,separator,True,16,48000,fp32,False,6,128,12,False,1,nan,nan,nan,nan,0,0,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.82 GiB. GPU 0 has a total capacity of 23.56 GiB of which 97.12 MiB is free. Including non-PyTorch memory, this process has 23.46 GiB memory in use. Of the allocated memory 20.41 GiB is allocated by PyTorch, and 2.70 GiB is reserved by PyTorch"
axes-full,4333ab12bd4ee348,separator,False,4,48000,fp16-mixed,False,6,128,12,False,3,7.9,419.5,420.2,5.13,3,6,0,ok,
structure-allow-rnn,4178fa184f7970e6,separator,True,16,48000,fp16-mixed,True,2,128,4,True,0,nan,nan,nan,nan,0,0,0,ERROR,"BackendCompilerFailed: backend='inductor' raised: TypeError: unsupported operand type(s) for divmod(): 'SymInt' and 'int'  Set TORCHDYNAMO_VERBOSE=1 for the internal stack trace (please do this especially if you're reporting a bug to PyTorch). For even more developer context, set TORCH_LOGS=""+dynamo"
axes-full,4de1fc185143c5c8,separator,False,8,48000,fp32,True,6,128,12,False,3,7.5,593.8,593.5,18.8,3,6,0,ok,
axes-full,63d23db5637ca67e,separator,True,16,48000,bf16-mixed,True,6,128,12,False,1,13.9,603.9,608.1,19.42,4,10,0,ok,
axes-full,d4a9056d403e8450,separator&spk,False,1,48000,fp32,False,6,128,12,False,1,nan,nan,nan,nan,0,0,0,ERROR,"TorchRuntimeError: Dynamo failed to run FX node with fake tensors: call_function <function batch_norm at 0x7a2bb555db80>(*(FakeTensor(..., device='cuda:0', size=(1, 3072)), FakeTensor(..., device='cuda:0', size=(3072,)), FakeTensor(..., device='cuda:0', size=(3072,)), Parameter(FakeTensor(..., devic"
axes-full,7b0fbb7b93018112,separator&spk,False,1,48000,bf16-mixed,True,6,128,12,False,1,nan,nan,nan,nan,0,0,0,ERROR,"TorchRuntimeError: Dynamo failed to run FX node with fake tensors: call_function <function batch_norm at 0x7a2bb555db80>(*(FakeTensor(..., device='cuda:0', size=(1, 3072)), FakeTensor(..., device='cuda:0', size=(3072,)), FakeTensor(..., device='cuda:0', size=(3072,)), Parameter(FakeTensor(..., devic"
axes-base,28d29120eb05b1af,eager,-,16,48000,fp16-mixed,True,6,128,12,False,0,0.0,626.3,626.8,19.4,0,0,0,ok,
axes-full,e23b883079ad8068,separator,False,8,48000,fp16-mixed,False,6,128,12,False,3,8.4,428.9,436.7,9.88,3,6,0,ok,
axes-full,a1906b457d4c8d43,separator,False,16,48000,fp32,True,6,128,12,False,3,nan,nan,nan,nan,0,0,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.82 GiB. GPU 0 has a total capacity of 23.56 GiB of which 111.12 MiB is free. Including non-PyTorch memory, this process has 23.44 GiB memory in use. Of the allocated memory 20.41 GiB is allocated by PyTorch, and 2.69 GiB is reserved by PyTorc"
axes-base,af3bba66ec7b27cc,separator,False,16,48000,fp16-mixed,True,6,128,12,False,0,8.8,628.2,631.0,19.38,3,6,0,ok,
axes-full,47a369263bff72fb,separator,False,16,48000,fp16-mixed,False,6,128,12,False,3,8.2,597.6,600.8,19.42,3,6,0,ok,
axes-full,ed4618878353e92c,separator,True,1,48000,fp32,True,6,128,12,False,3,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,d3a74643b513744c,separator,True,1,48000,fp16-mixed,False,6,128,12,False,3,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-base,08ee96f6d9ee2d72,separator,True,16,48000,fp16-mixed,True,6,128,12,False,0,14.7,614.8,620.2,19.38,4,10,0,ok,
axes-full,b1d598095c4696b3,separator,True,2,48000,fp32,True,6,128,12,False,3,14.2,375.9,378.9,5.0,4,10,0,ok,
axes-full,0110583efb2242d8,separator,True,2,48000,fp16-mixed,False,6,128,12,False,3,13.6,416.2,416.4,2.77,4,10,0,ok,
axes-full,30cb926d043b3b2a,separator,True,4,48000,fp32,True,6,128,12,False,3,13.8,408.4,411.8,9.57,4,10,0,ok,
axes-full,8d114a06605324f9,separator,True,4,48000,fp16-mixed,False,6,128,12,False,3,14.5,443.2,450.1,5.13,4,10,0,ok,
axes-full,a749ce42cb79f661,separator,True,8,48000,fp32,True,6,128,12,False,3,15.3,590.8,595.3,18.8,4,10,0,ok,
axes-full,6d69ddbbf13ac8f3,separator,True,8,48000,fp16-mixed,False,6,128,12,False,3,14.0,426.0,431.5,9.88,4,10,0,ok,
axes-full,b19306b74c0ea9bb,separator,True,16,48000,fp32,True,6,128,12,False,3,nan,nan,nan,nan,0,0,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.82 GiB. GPU 0 has a total capacity of 23.56 GiB of which 109.12 MiB is free. Including non-PyTorch memory, this process has 23.44 GiB memory in use. Of the allocated memory 20.41 GiB is allocated by PyTorch, and 2.69 GiB is reserved by PyTorc"
axes-full,f4895262b3c11cd0,separator,True,16,48000,fp16-mixed,False,6,128,12,False,3,14.4,599.3,606.8,19.42,4,10,0,ok,
