step,wall_s,t_spk,t_mix,allocated_mib,reserved_mib,inactive_split_mib,num_alloc_retries,num_device_alloc,num_device_free
39,0.9137880532070994,507,48000,467.8671875,21402.0,1496.1328125,0,1869,1651
40,0.8609955357387662,552,48000,468.0791015625,21976.0,1431.9208984375,0,1919,1701
41,0.9164337199181318,739,48000,469.0,21402.0,1493.0,0,1969,1751
42,1.1554793491959572,369,48000,467.2978515625,21976.0,1494.7021484375,0,2020,1802
43,0.9262482458725572,324,48000,467.2900390625,21978.0,1500.7099609375,0,2072,1853
44,0.9554979451932013,602,48000,468.3232421875,21976.0,1437.6767578125,0,2120,1902
45,0.8837575959041715,334,48000,467.2978515625,21404.0,1498.7021484375,0,2168,1949
46,0.502389962784946,330,48000,467.2900390625,21404.0,1500.7099609375,0,2168,1949
47,0.9741820800118148,508,48000,467.8720703125,21976.0,1432.1279296875,0,2216,1998
48,1.2191424113698304,318,48000,467.2900390625,21914.0,1434.7099609375,0,2267,2048
49,0.4980063196271658,486,48000,467.7646484375,21914.0,2824.2353515625,0,2267,2048
50,0.9717412232421339,356,48000,467.2978515625,21402.0,1496.7021484375,0,2315,2097
51,1.0372298927977681,317,48000,467.2900390625,21978.0,1504.7099609375,0,2366,2147
52,1.002834320999682,419,48000,467.45703125,21978.0,1436.54296875,0,2413,2194
53,1.15906131407246,715,48000,468.875,21404.0,1497.125,0,2462,2243
54,0.9075026828795671,540,48000,468.0283203125,22028.0,1433.9716796875,0,2512,2292
55,0.9072531233541667,409,48000,467.46484375,21914.0,1434.53515625,0,2562,2343
56,0.874776748009026,379,48000,467.2900390625,21404.0,1500.7099609375,0,2612,2393
57,0.8673426578752697,452,48000,467.5908203125,21978.0,1436.4091796875,0,2661,2442
58,0.5007249070331454,313,48000,467.2978515625,21978.0,1434.7021484375,0,2661,2442
59,0.9390922491438687,511,48000,467.88671875,21914.0,1444.11328125,0,2711,2492
60,0.862503684591502,329,48000,467.2978515625,21914.0,1436.7021484375,0,2756,2537
61,0.499556259252131,317,48000,467.2900390625,21914.0,1434.7099609375,0,2756,2537
62,0.9271780648268759,303,48000,467.2900390625,21404.0,2886.7099609375,0,2806,2587
63,0.9005586430430412,380,48000,467.2978515625,21978.0,1498.7021484375,0,2856,2637
64,1.0674021719023585,302,48000,467.2900390625,21978.0,1498.7099609375,0,2906,2687
65,0.9452354712411761,735,48000,468.97265625,21976.0,1437.02734375,0,2955,2737
66,0.8882706398144364,522,48000,467.9326171875,21404.0,1496.0673828125,0,3003,2784
67,0.9616619581356645,319,48000,467.2900390625,21976.0,2886.7099609375,0,3053,2835
68,0.5139060588553548,379,48000,467.2978515625,21978.0,2820.7021484375,0,3054,2835
69,0.9558700961060822,571,48000,468.1796875,21404.0,1505.8203125,0,3105,2886
70,0.499675917904824,352,48000,467.2900390625,21404.0,1498.7099609375,0,3105,2886
71,0.9050005380995572,660,48000,468.6064453125,21978.0,1501.3935546875,0,3155,2936
72,0.9241508902050555,343,48000,467.2900390625,21978.0,1496.7099609375,0,3203,2984
