step,wall_s,t_spk,t_mix,allocated_mib,reserved_mib,inactive_split_mib,num_alloc_retries,num_device_alloc,num_device_free
23,0.9584493702277541,414,48000,467.8779296875,20554.0,2866.1220703125,0,1233,1017
24,0.47854622593149543,315,48000,467.7138671875,20554.0,2870.2861328125,0,1233,1017
25,0.9037335668690503,401,48000,467.8779296875,20504.0,2864.1220703125,0,1278,1063
26,0.4825524599291384,352,48000,467.7060546875,20504.0,2870.2939453125,0,1278,1063
27,0.8073928500525653,321,48000,467.7138671875,21000.0,2802.2861328125,0,1324,1108
28,0.852296878118068,371,48000,467.7138671875,20440.0,2806.2861328125,0,1371,1156
29,1.0105502880178392,368,48000,467.7060546875,20440.0,2808.2939453125,0,1416,1201
30,0.8710164120420814,396,48000,467.8857421875,20442.0,2872.1142578125,0,1461,1245
31,0.8151824288070202,306,48000,467.7138671875,20554.0,2870.2861328125,0,1506,1290
32,0.9307895200327039,382,48000,467.7060546875,20556.0,2868.2939453125,0,1553,1336
33,0.4851531367748976,347,48000,467.7138671875,20556.0,2872.2861328125,0,1553,1336
34,0.4849623474292457,460,48000,468.0537109375,20556.0,2869.9462890625,0,1553,1336
35,0.9710655426606536,494,48000,468.2119140625,20504.0,2869.7880859375,0,1598,1383
36,0.8595606689341366,345,48000,467.7060546875,20504.0,2870.2939453125,0,1643,1428
37,0.8471710849553347,312,48000,467.7060546875,20504.0,2866.2939453125,0,1688,1473
38,0.8426356413401663,311,48000,467.7060546875,20504.0,2868.2939453125,0,1735,1520
39,0.8433715808205307,557,48000,468.51953125,20504.0,2869.48046875,0,1781,1566
40,0.5082816448993981,321,48000,467.7060546875,20504.0,2864.2939453125,0,1781,1566
41,0.8570155422203243,379,48000,467.7060546875,20506.0,2874.2939453125,0,1830,1614
42,0.4958225628361106,347,48000,467.7060546875,20506.0,2870.2939453125,0,1830,1614
43,0.8509554299525917,456,48000,468.0263671875,20506.0,2873.9736328125,0,1876,1660
44,0.4816946121864021,414,48000,467.8779296875,20506.0,2866.1220703125,0,1876,1660
45,0.4787918860092759,352,48000,467.7060546875,20506.0,2866.2939453125,0,1876,1660
46,0.8077375208958983,301,48000,467.7138671875,21002.0,2812.2861328125,0,1925,1708
47,0.9913551262579858,458,48000,468.0361328125,20442.0,2801.9638671875,0,1968,1752
48,1.0081357918679714,328,48000,467.7060546875,20442.0,2810.2939453125,0,2016,1800
49,1.0413308967836201,324,48000,467.7138671875,20440.0,2872.2861328125,0,2059,1844
50,0.9436502223834395,843,48000,469.923828125,20556.0,2864.076171875,0,2105,1888
51,0.48348406981676817,557,48000,468.52734375,20556.0,2867.47265625,0,2105,1888
52,0.8504277807660401,322,48000,467.7138671875,20554.0,2866.2861328125,0,2152,1936
53,0.7799566593021154,308,48000,467.7060546875,20554.0,2866.2939453125,0,2200,1984
54,1.0759646990336478,625,48000,468.859375,21002.0,2809.140625,0,2249,2032
55,0.9944819319061935,580,48000,468.6318359375,20440.0,2807.3681640625,0,2292,2077
56,0.9137190040200949,360,48000,467.7060546875,20440.0,2804.2939453125,0,2336,2121
57,0.8967180168256164,446,48000,467.9853515625,20440.0,2868.0146484375,0,2382,2167
58,0.49197402922436595,343,48000,467.7060546875,20440.0,2868.2939453125,0,2382,2167
59,0.7704583518207073,461,48000,468.05078125,20504.0,2871.94921875,0,2428,2213
60,0.9627573862671852,340,48000,467.7060546875,20504.0,2870.2939453125,0,2472,2257
61,1.0100516406819224,333,48000,467.7060546875,20504.0,2864.2939453125,0,2517,2302
62,0.861870096065104,378,48000,467.7060546875,20504.0,2872.2939453125,0,2565,2350
63,0.902828108984977,376,48000,467.7060546875,20504.0,2870.2939453125,0,2609,2394
64,0.8759422469884157,600,48000,468.7294921875,20506.0,2877.2705078125,0,2655,2439
65,0.8560580741614103,650,48000,468.9736328125,20506.0,2867.0263671875,0,2697,2481
66,0.7726615397259593,310,48000,467.7060546875,20506.0,2876.2939453125,0,2744,2528
67,0.5128425392322242,379,48000,467.7060546875,20506.0,2868.2939453125,0,2744,2528
68,0.8577532721683383,365,48000,467.7138671875,21000.0,2806.2861328125,0,2791,2575
69,0.4860683069564402,306,48000,467.7138671875,21000.0,2868.2861328125,0,2791,2575
70,0.8798583820462227,336,48000,467.7060546875,20504.0,2878.2939453125,0,2837,2622
71,0.4997085379436612,401,48000,467.8779296875,20506.0,2866.1220703125,0,2838,2622
72,0.9848424657247961,664,48000,469.0419921875,20506.0,2878.9580078125,0,2886,2670
