step,wall_s,t_spk,t_mix,allocated_mib,reserved_mib,inactive_split_mib,num_alloc_retries,num_device_alloc,num_device_free
25,1.0125849950127304,688,48000,468.7431640625,21976.0,1429.2568359375,0,1334,1116
26,0.8868762901984155,358,48000,467.2978515625,21404.0,1504.7021484375,0,1386,1167
27,0.8284841510467231,335,48000,467.2900390625,21978.0,1496.7099609375,0,1433,1214
28,1.1558273867703974,421,48000,467.45703125,21978.0,1498.54296875,0,1484,1265
29,0.855216084048152,565,48000,468.142578125,21978.0,1431.857421875,0,1534,1315
30,0.4998433170840144,315,48000,467.2978515625,21978.0,1436.7021484375,0,1534,1315
31,1.0692047867923975,666,48000,468.6435546875,21404.0,1499.3564453125,0,1583,1364
32,0.8778967619873583,330,48000,467.2900390625,21978.0,1498.7099609375,0,1632,1413
33,0.5101246531121433,347,48000,467.2978515625,21978.0,1498.7021484375,0,1632,1413
34,0.5237853638827801,330,48000,467.2978515625,21978.0,1500.7021484375,0,1632,1413
35,0.9243384781293571,313,48000,467.2900390625,21978.0,1442.7099609375,0,1681,1462
36,0.9160333699546754,322,48000,467.2900390625,21404.0,2888.7099609375,0,1727,1508
37,1.1069063250906765,325,48000,467.2900390625,21978.0,1504.7099609375,0,1776,1557
38,0.8637752132490277,463,48000,467.64453125,21978.0,1436.35546875,0,1823,1604
39,0.9029898378066719,507,48000,467.8671875,21402.0,1502.1328125,0,1871,1653
40,0.9700479251332581,552,48000,468.0791015625,21978.0,1429.9208984375,0,1919,1700
41,0.8933968120254576,739,48000,469.0,21404.0,1503.0,0,1971,1752
42,1.0085341618396342,369,48000,467.2978515625,21976.0,1434.7021484375,0,2017,1799
43,1.0384355410933495,324,48000,467.2900390625,21912.0,1434.7099609375,0,2066,1848
44,0.9430637429468334,602,48000,468.3310546875,21402.0,2887.6689453125,0,2115,1897
45,0.9870359320193529,334,48000,467.2900390625,21978.0,1500.7099609375,0,2164,1945
46,0.5025310227647424,330,48000,467.2900390625,21978.0,1506.7099609375,0,2164,1945
47,0.9347222251817584,508,48000,467.8720703125,21978.0,1434.1279296875,0,2210,1991
48,1.2638282477855682,318,48000,467.2900390625,21914.0,1440.7099609375,0,2260,2041
49,0.4972881809808314,486,48000,467.7646484375,21914.0,2832.2353515625,0,2260,2041
50,0.9118527472019196,356,48000,467.2978515625,21402.0,1504.7021484375,0,2304,2086
51,0.8967679869383574,317,48000,467.2900390625,21978.0,1500.7099609375,0,2351,2132
52,0.8887421092949808,419,48000,467.45703125,21978.0,1506.54296875,0,2400,2181
53,0.8769175447523594,715,48000,468.875,21978.0,1435.125,0,2446,2227
54,0.9618156468495727,540,48000,468.0283203125,21912.0,1435.9716796875,0,2494,2276
55,0.9069970543496311,409,48000,467.45703125,21402.0,1496.54296875,0,2542,2324
56,0.875721865799278,379,48000,467.2978515625,21978.0,1438.7021484375,0,2593,2374
57,0.9070085640996695,452,48000,467.5986328125,21914.0,1438.4013671875,0,2641,2422
58,0.5038244817405939,313,48000,467.2900390625,21914.0,1436.7099609375,0,2641,2422
59,0.872903501149267,511,48000,467.88671875,21404.0,2892.11328125,0,2690,2471
60,0.9542896877974272,329,48000,467.2900390625,21978.0,1504.7099609375,0,2737,2518
61,0.49356061732396483,317,48000,467.2900390625,21978.0,1508.7099609375,0,2737,2518
62,0.8492754730395973,303,48000,467.2900390625,21978.0,1510.7099609375,0,2782,2563
63,0.9259728780016303,380,48000,467.2900390625,21978.0,1506.7099609375,0,2826,2607
64,0.9078072118572891,302,48000,467.2900390625,21978.0,1498.7099609375,0,2872,2653
65,0.9395668092183769,735,48000,468.97265625,21978.0,1433.02734375,0,2922,2703
66,1.0602607717737556,522,48000,467.9404296875,21404.0,1502.0595703125,0,2972,2753
67,0.8886540587991476,319,48000,467.2900390625,21978.0,1502.7099609375,0,3020,2801
68,0.49431917630136013,379,48000,467.2900390625,21978.0,1498.7099609375,0,3020,2801
69,0.8799232617020607,571,48000,468.1796875,21978.0,1505.8203125,0,3070,2851
70,0.4994388781487942,352,48000,467.2900390625,21978.0,1498.7099609375,0,3070,2851
71,0.9393279789946973,660,48000,468.6064453125,21978.0,1499.3935546875,0,3120,2901
72,0.9167991611175239,343,48000,467.2900390625,21978.0,1498.7099609375,0,3169,2950
